('44', '-', 'The Intouchables', '(2011) -', 'Starring:', 'Olivier Nakache (dir.), François Cluzet, Omar Sy', '8.462382985059802')
('45', '-', 'Modern Times', '(1936) -', 'Starring:', 'Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard', '8.456361531075428')
('46', '-', 'Once Upon a Time in the West', '(1968) -', 'Starring:', 'Sergio Leone (dir.), Henry Fonda, Charles Bronson', '8.45514199754399')
('47', '-', 'Seppuku', '(1962) -', 'Starring:', 'Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama', '8.453125433269333')
('48', '-', 'Hotaru no haka', '(1988) -', 'Starring:', 'Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi', '8.452671081106299')
('49', '-', 'Alien', '(1979) -', 'Starring:', 'Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt', '8.443520397760533')
('50', '-', 'Rear Window', '(1954) -', 'Starring:', 'Alfred Hitchcock (dir.), James Stewart, Grace Kelly', '8.442953177602622')
('51', '-', 'City Lights', '(1931) -', 'Starring:', 'Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill', '8.44074039140661')
('52', '-', 'Memento', '(2000) -', 'Starring:', 'Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss', '8.43494748303195')
('53', '-', 'Nuovo Cinema Paradiso', '(1988) -', 'Starring:', 'Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale', '8.432249280696045')
('54', '-', 'Apocalypse Now', '(1979) -', 'Starring:', 'Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando', '8.43197501126407')
('55', '-', 'Raiders of the Lost Ark', '(1981) -', 'Starring:', 'Steven Spielberg (dir.), Harrison Ford, Karen Allen', '8.42096526915542')
('56', '-', 'Django Unchained', '(2012) -', 'Starring:', 'Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz', '8.411313696946511')
('57', '-', 'WALL·E', '(2008) -', 'Starring:', 'Andrew Stanton (dir.), Ben Burtt, Elissa Knight', '8.40165931786151')
('58', '-', 'The Lives of Others', '(2006) -', 'Starring:', 'Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck', '8.391478115794206')
('59', '-', 'Sunset Blvd', '(1950) -', 'Starring:', 'Billy Wilder (dir.), William Holden, Gloria Swanson', '8.388505442842144')
('60', '-', 'The Shining', '(1980) -', 'Starring:', 'Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall', '8.376643338363328')
